"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND - TREATED, MEASURED IN ACRES","FERTILIZER","FERTILIZER: (ORGANIC)","1,375","95.1"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND - TREATED, MEASURED IN ACRES","FERTILIZER","FERTILIZER: (TOTAL)","113,471","26.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, (EXCL CROPLAND & PASTURELAND & WOODLAND) - ACRES","TOTAL","NOT SPECIFIED","8,790","46.3"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, (EXCL CROPLAND & PASTURELAND & WOODLAND) - AREA, MEASURED IN PCT OF AG LAND","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","7","51.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, (EXCL CROPLAND & PASTURELAND & WOODLAND) - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","644","23.6"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROP INSURANCE - ACRES","TOTAL","NOT SPECIFIED","93,235","27.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROP INSURANCE - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","230","26.1"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND - ACRES","TOTAL","NOT SPECIFIED","132,104","24.2"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND - AREA, MEASURED IN PCT OF AG LAND","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","67","5.9"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","780","19.5"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","62","62.3"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES","TOTAL","NOT SPECIFIED","10,571","36.6"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - NUMBER OF OPERATIONS","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","5","63.5"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","248","24.8"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), ALL CROPS FAILED - ACRES","TOTAL","NOT SPECIFIED","1,541","86.3"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), ALL CROPS FAILED - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","29","72.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW - ACRES","TOTAL","NOT SPECIFIED","986","79.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","45","77.9"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), IDLE - ACRES","TOTAL","NOT SPECIFIED","8,044","38.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), IDLE - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","198","25.3"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL PASTURED) - OPERATIONS WITH TREATED","FERTILIZER","FERTILIZER: (TOTAL)","457","20.5"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL PASTURED) - TREATED, MEASURED IN ACRES","FERTILIZER","FERTILIZER: (TOTAL)","109,796","26.8"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","44,964","33.4"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA HARVESTED","AREA HARVESTED: (1.0 TO 9.9 ACRES)","610","46.1"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA HARVESTED","AREA HARVESTED: (10.0 TO 19.9 ACRES)","1,358","60.9"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA HARVESTED","AREA HARVESTED: (100 TO 199 ACRES)","12,301","41.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA HARVESTED","AREA HARVESTED: (20.0 TO 29.9 ACRES)","1,584","54.2"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA HARVESTED","AREA HARVESTED: (200 TO 499 ACRES)","19,280","36.3"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA HARVESTED","AREA HARVESTED: (30.0 TO 49.9 ACRES)","2,137","38.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA HARVESTED","AREA HARVESTED: (50.0 TO 99.9 ACRES)","5,919","33.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA HARVESTED","AREA HARVESTED: (500 TO 999 ACRES)","32,088","43.8"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","38,025","56.3"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","179","88.8"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","2,397","43.3"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","4,965","58.6"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","5,447","54.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","3,933","58.5"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","14,533","31.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","3,251","64.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","15,055","41.6"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","1,510","53.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","29,391","40.5"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","1,555","44.8"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","TENURE","TENURE: (FULL OWNER)","19,218","38.9"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","TENURE","TENURE: (PART OWNER)","93,118","28.9"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","TENURE","TENURE: (TENANT)","7,905","30.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","TOTAL","NOT SPECIFIED","120,241","24.8"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)","29","39.5"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA HARVESTED","AREA HARVESTED: (1.0 TO 9.9 ACRES)","128","47.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA HARVESTED","AREA HARVESTED: (10.0 TO 19.9 ACRES)","102","59.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA HARVESTED","AREA HARVESTED: (100 TO 199 ACRES)","88","43.5"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA HARVESTED","AREA HARVESTED: (20.0 TO 29.9 ACRES)","68","55.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA HARVESTED","AREA HARVESTED: (200 TO 499 ACRES)","57","36.6"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA HARVESTED","AREA HARVESTED: (30.0 TO 49.9 ACRES)","55","40.2"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA HARVESTED","AREA HARVESTED: (50.0 TO 99.9 ACRES)","80","32.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA HARVESTED","AREA HARVESTED: (500 TO 999 ACRES)","46","42.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","34","54.8"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","46","85.8"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","158","39.1"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","77","46.4"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","67","48.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","29","58.4"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","6","40.4"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","25","64.6"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","55","40.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","65","46.1"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","47","38.2"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","44","40.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","9","44.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","TENURE","TENURE: (FULL OWNER)","380","26.6"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","TENURE","TENURE: (PART OWNER)","239","27.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","TENURE","TENURE: (TENANT)","34","60.8"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","653","20.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED, IRRIGATED - ACRES","TOTAL","NOT SPECIFIED","58","24.6"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED, IRRIGATED - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","9","43.1"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, PASTURED ONLY - ACRES","TOTAL","NOT SPECIFIED","1,292","33.8"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, CROPLAND, PASTURED ONLY - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","67","37.9"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - ACRES","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - ACRES","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","9","(H)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - ACRES","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - ACRES","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - ACRES","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (IRRIGATED ONE OR MORE TIMES IN THE PAST FIVE YEARS)","85","26.4"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - ACRES","TOTAL","NOT SPECIFIED","58","24.5"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","1","85.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","3","(H)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","1","(H)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","2","67.9"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","2","(H)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","IRRIGATION STATUS","IRRIGATION STATUS: (IRRIGATED ONE OR MORE TIMES IN THE PAST FIVE YEARS)","12","49.1"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","9","46.7"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, OWNED, IN FARMS - ACRES","TENURE","TENURE: (PART OWNER)","48,991","29.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, PASTURELAND - ACRES","TOTAL","NOT SPECIFIED","13,943","24.1"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, PASTURELAND - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","442","25.2"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, PASTURELAND - OPERATIONS WITH TREATED","FERTILIZER","FERTILIZER: (TOTAL)","118","35.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, PASTURELAND - TREATED, MEASURED IN ACRES","FERTILIZER","FERTILIZER: (TOTAL)","3,675","29.9"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, PASTURELAND, (EXCL CROPLAND & WOODLAND) - ACRES","TOTAL","NOT SPECIFIED","10,414","25.9"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, PASTURELAND, (EXCL CROPLAND & WOODLAND) - AREA, MEASURED IN PCT OF AG LAND","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","8","37.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, PASTURELAND, (EXCL CROPLAND & WOODLAND) - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","390","26.9"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, PASTURELAND, (EXCL WOODLAND) - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, PASTURELAND, (EXCL WOODLAND) - NUMBER OF OPERATIONS","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","2","69.0"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, RENTED FROM OTHERS, IN FARMS - ACRES","TENURE","TENURE: (PART OWNER)","62,612","31.2"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, WOODLAND - ACRES","TOTAL","NOT SPECIFIED","24,761","30.6"
"CENSUS","2017","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, WOODLAND - AREA, MEASURED IN PCT OF AG LAND","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","18","26.0"
